date,actif,prix,bande_basse,moyenne,bande_haute,decision,position,capital,quantite_detenue,prix_entree,pnl_pct,valeur_totale
2026-07-16 17:43:17 UTC,ETH/USD,1868.84,1868.71,1871.3,1873.89,HOLD,0.0,964.9,0.0,,,964.9
2026-07-16 17:44:18 UTC,ETH/USD,1869.22,1868.38,1871.12,1873.87,HOLD,0.0,964.9,0.0,,,964.9
2026-07-16 17:45:31 UTC,ETH/USD,1869.13,1868.1,1870.96,1873.81,HOLD,0.0,964.9,0.0,,,964.9
2026-07-16 17:46:19 UTC,ETH/USD,1866.71,1868.14,1870.96,1873.79,"ACHAT (bande basse touchée, 1868.14)",1,0.0,0.51638182,1866.71,,963.94
2026-07-16 17:47:15 UTC,ETH/USD,1867.86,1867.61,1870.83,1874.06,HOLD,1.0,0.0,0.51638182,1866.71,,964.53
2026-07-16 17:48:21 UTC,ETH/USD,1868.24,1867.35,1870.74,1874.13,HOLD,1.0,0.0,0.51638182,1866.71,,964.73
2026-07-16 17:49:17 UTC,ETH/USD,1869.26,1867.22,1870.69,1874.16,HOLD,1.0,0.0,0.51638182,1866.71,,965.25
2026-07-16 17:50:35 UTC,ETH/USD,1868.01,1867.1,1870.63,1874.16,HOLD,1.0,0.0,0.51638182,1866.71,,964.61
2026-07-16 17:51:17 UTC,ETH/USD,1867.71,1866.7,1870.45,1874.19,HOLD,1.0,0.0,0.51638182,1866.71,,964.45
2026-07-16 17:52:19 UTC,ETH/USD,1865.7,1866.1,1870.2,1874.3,HOLD,1.0,0.0,0.51638182,1866.71,,963.41
2026-07-16 17:53:18 UTC,ETH/USD,1867.74,1865.94,1869.88,1873.81,HOLD,1.0,0.0,0.51638182,1866.71,,964.47
2026-07-16 17:54:21 UTC,ETH/USD,1867.71,1865.83,1869.72,1873.61,HOLD,1.0,0.0,0.51638182,1866.71,,964.45
2026-07-16 17:55:25 UTC,ETH/USD,1863.96,1865.59,1869.5,1873.42,HOLD,1.0,0.0,0.51638182,1866.71,,962.52
2026-07-16 17:56:20 UTC,ETH/USD,1864.31,1864.81,1869.1,1873.39,HOLD,1.0,0.0,0.51638182,1866.71,,962.7
2026-07-16 17:57:18 UTC,ETH/USD,1865.1,1864.41,1868.72,1873.03,HOLD,1.0,0.0,0.51638182,1866.71,,963.1
2026-07-16 17:58:22 UTC,ETH/USD,1865.78,1863.96,1868.36,1872.77,HOLD,1.0,0.0,0.51638182,1866.71,,963.45
2026-07-16 17:59:17 UTC,ETH/USD,1866.41,1863.91,1868.05,1872.19,HOLD,1.0,0.0,0.51638182,1866.71,,963.78
2026-07-16 18:00:50 UTC,ETH/USD,1868.88,1864.21,1867.78,1871.36,VENTE (retour à la moyenne atteint),0,964.09,0.0,,0.12,964.09
